TreeID,StandID,Plot,Tag,PrevPSPTag,PrevHOM,PrevDBH,PrevMS,PrevRT,PrevLA,Species,PrevStatus,PrevComments,gx,gy,PrevMainStem,PrevMulti,CrownScorch,CharUp,CharSide1,CharSide2,CharDown,PrevYear
200040,RS31,0005,200040,,137,1.2,,,,TABR,1,LEAN,10.953,125.353,200039,Y,,,,,,
100657,RS31,0008,100657,,137,1.2,,,,RHMA,1,,11.063,208.405,100654,Y,,,,,,
101163,RS31,0000,101163,,137,1.2,,,,VAPA,1,,10.313,13.429,101162,Y,,,,,,
200015,RS31,0004,200015,,137,9.1,,,,THPL,1,LAYERING,21.724,121.811,200015,Y,,,,,,
101108,RS31,0001,101108,,137,14.7,,,,TSHE,1,WB,5.405,31.14,101108,N,,,,,,
101166,RS31,0000,101166,,137,1.5,,,,VAPA,1,,8.684,13.963,101164,Y,,,,,,
501052,RS31,0000,501052,,137,1.4,,,,CACH,1,,8.301,1.723,501051,Y,,,,,,
200721,RS31,0007,200721,,137,32.2,,,,PSME,1,,23.709,193.26,200721,N,,,,,,
200216,RS31,0008,200216,,137,2.2,,,,RHMA,1,,5.646,203.155,200214,Y,,,,,,
200052,RS31,0004,200052,,137,21.3,,,,TSHE,1,,23.977,113.976,200052,N,,,,,,
100014,RS31,0000,100014,,137,56.2,,,,THPL,1,,17.037,16.599,100014,N,,,,,,
501054,RS31,0000,501054,,137,1.4,,,,CACH,1,,8.301,1.723,501051,Y,,,,,,
200176,RS31,0005,200176,,137,53.7,,,,TSHE,1,NURSE,14.521,125.007,200176,N,,,,,,
101399,RS31,0003,101399,,137,5.1,,,,TSHE,1,,2.521,83.804,101399,N,,,,,,
200683,RS31,0000,200683,,137,1,,,,TSHE,1,,3.177,1.908,200682,Y,,,,,,
200732,RS31,0007,200732,,137,24,,,,TSHE,1,,19.413,189.64,200732,N,,,,,,
200730,RS31,0007,200730,,137,2.8,,,,ACCI,1,,23.499,188.034,200730,N,,,,,,
100964,RS31,0008,100964,,137,4,,,,ACCI,1,,22.918,208.958,100964,N,,,,,,
200033,RS31,0004,200033,,137,1.8,,,,VAPA,1,,9.146,122.912,200033,Y,,,,,,
101142,RS31,0000,101142,,137,2,,,,RHMA,1,POM 135 FOR 0101138,6.858,16.721,101138,Y,,,,,,
200387,RS31,0006,200387,,137,21,,,,ACMA,1,,9.905,151.25,200387,N,,,,,,
200587,RS31,0000,200587,,137,2.6,,,,TSHE,1,,4.594,10.641,200587,N,,,,,,
200524,RS31,0000,200524,,137,1.2,,,,VAPA,1,,6.917,9.815,200524,Y,,,,,,
1600606,RS31,0000,1600606,,137,3.2,,,,TSHE,1,,0.328,10.644,1600606,N,,,,,,
101449,RS31,0008,101449,,137,1.3,,,,RHMA,1,,17.511,224.178,101449,N,,,,,,
200543,RS31,0000,200543,,137,1.9,,,,TSHE,1,,7.666,11.736,200543,N,,,,,,
200667,RS31,0000,200667,,137,3.4,,,,TSHE,1,NURSE,0.902,3.889,200667,N,,,,,,
200759,RS31,0007,200759,,137,60.7,,,,PSME,1,,10.353,181.656,200759,N,,,,,,
100060,RS31,0000,100060,,137,9.5,,,,TSHE,1,,23.737,11.142,100060,N,,,,,,
101369,RS31,0003,101369,,137,14.7,,,,TSHE,1,,5.104,93.45,101369,N,,,,,,
101494,RS31,0009,101494,,137,1.6,,,,RHMA,1,,6.606,235.041,101494,Y,,,,,,
101500,RS31,0009,101500,,137,5.1,,,,RHMA,1,,10.961,228.184,101500,Y,,,,,,
200748,RS31,0007,200748,,137,5.3,,,,RHMA,1,,1.386,183.38,200748,N,,,,,,
100649,RS31,0008,100649,,137,4.9,,,,RHMA,1,,10.076,208.792,100649,N,,,,,,
100831,RS31,0002,100831,,137,32.3,,,,TSHE,1,,16.22,59.887,100831,N,,,,,,
101439,RS31,0009,101439,,137,2,,,,RHMA,1,,20.508,228.836,101439,Y,,,,,,
